	_feature_id	_core_var	_ratio_core_cat	_mean_ratio_cat	_RNA_prev	_DNA_prev	_cat	pathway	function_biobakery	Superclass1	Superclass2	function
PWY-5676: acetyl-CoA fermentation to butanoate II	PWY-5676: acetyl-CoA fermentation to butanoate II	variable		r:d>1	else	DNA exists	e	PWY-5676	 acetyl-CoA fermentation to butanoate II	Generation of Precursor Metabolites and Energy	Fermentation	acetyl-CoA fermentation to butanoate II
PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	PWY-7383: anaerobic energy metabolism (invertebrates, cytosol)	variable		r:d>1	else	DNA exists	e	PWY-7383	 anaerobic energy metabolism (invertebrates, cytosol)	Generation of Precursor Metabolites and Energy	Fermentation	anaerobic energy metabolism (invertebrates, cytosol)
PWY-4984: urea cycle	PWY-4984: urea cycle	variable		r:d<1	else	DNA exists	e	PWY-4984	 urea cycle	Degradation/Utilization/Assimilation	Inorganic Nutrient Metabolism	urea cycle
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	variable		r:d>1	else	DNA exists	e	PWY0-162	 superpathway of pyrimidine ribonucleotides de novo biosynthesis	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY-7234: inosine-5'-phosphate biosynthesis III	PWY-7234: inosine-5'-phosphate biosynthesis III	variable		r:d>1	else	DNA exists	e	PWY-7234	 inosine-5'-phosphate biosynthesis III	Biosynthesis	Nucleoside and Nucleotide Biosynthesis	inosine-5'-phosphate biosynthesis III
P164-PWY: purine nucleobases degradation I (anaerobic)	P164-PWY: purine nucleobases degradation I (anaerobic)	variable		r:d>1	else	DNA exists	e	P164-PWY	 purine nucleobases degradation I (anaerobic)	Degradation/Utilization/Assimilation	Nucleoside and Nucleotide Degradation	purine nucleobases degradation I (anaerobic)
PENTOSE-P-PWY: pentose phosphate pathway	PENTOSE-P-PWY: pentose phosphate pathway	variable		r:d>1	else	DNA exists	e	PENTOSE-P-PWY	 pentose phosphate pathway	Generation of Precursor Metabolites and Energy	Pentose Phosphate Pathways	pentose phosphate pathway
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	variable		r:d<1	else	DNA exists	e	POLYISOPRENSYN-PWY	 polyisoprenoid biosynthesis (E. coli)	Biosynthesis	Polyprenyl Biosynthesis	polyisoprenoid biosynthesis (E. coli)
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	variable		r:d<1	else	DNA exists	e	PWY-5121	 superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	Biosynthesis	Polyprenyl Biosynthesis	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)
PWY-6270: isoprene biosynthesis I	PWY-6270: isoprene biosynthesis I	variable		r:d<1	else	DNA exists	e	PWY-6270	 isoprene biosynthesis I	Biosynthesis	Secondary Metabolite Biosynthesis	isoprene biosynthesis I
PWY-7560: methylerythritol phosphate pathway II	PWY-7560: methylerythritol phosphate pathway II	variable		r:d<1	else	DNA exists	e	PWY-7560	 methylerythritol phosphate pathway II	Biosynthesis	Secondary Metabolite Biosynthesis	methylerythritol phosphate pathway II
PWY-6859: all-trans-farnesol biosynthesis	PWY-6859: all-trans-farnesol biosynthesis	variable		r:d<1	else	DNA exists	e	PWY-6859	 all-trans-farnesol biosynthesis	Biosynthesis	Secondary Metabolite Biosynthesis	all-trans-farnesol biosynthesis
PWY-7392: taxadiene biosynthesis (engineered)	PWY-7392: taxadiene biosynthesis (engineered)	variable		r:d<1	else	DNA exists	e	PWY-7392	 taxadiene biosynthesis (engineered)	Biosynthesis	Secondary Metabolite Biosynthesis	taxadiene biosynthesis (engineered)
PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation	variable		r:d>1	else	DNA exists	e	PWY-6507	 4-deoxy-L-threo-hex-4-enopyranuronate degradation	Degradation/Utilization/Assimilation	Secondary Metabolite Degradation	4-deoxy-L-threo-hex-4-enopyranuronate degradation
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	variable		r:d<1	else	DNA exists	e	GALACT-GLUCUROCAT-PWY	 superpathway of hexuronide and hexuronate degradation	Superpathways	Superpathways	superpathway of hexuronide and hexuronate degradation
PWY-5690: TCA cycle II (plants and fungi)	PWY-5690: TCA cycle II (plants and fungi)	variable		r:d>1	else	DNA exists	e	PWY-5690	 TCA cycle II (plants and fungi)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle II (plants and fungi)
TCA: TCA cycle I (prokaryotic)	TCA: TCA cycle I (prokaryotic)	variable		r:d>1	else	DNA exists	e	TCA	 TCA cycle I (prokaryotic)	Generation of Precursor Metabolites and Energy	TCA cycle	TCA cycle I (prokaryotic)
7ALPHADEHYDROX-PWY	7ALPHADEHYDROX-PWY	variable		nan	else	>0.8 no DNA	f	7ALPHADEHYDROX-PWY				
PWY-5791	PWY-5791	variable		r:d<1	else	>0.8 no DNA	f	PWY-5791				
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	variable		r:d>1	else	>0.8 no DNA	f	GLYCOL-GLYOXDEG-PWY	 superpathway of glycol metabolism and degradation	Degradation/Utilization/Assimilation	Alcohol Degradation	superpathway of glycol metabolism and degradation
PWY-7616: methanol oxidation to carbon dioxide	PWY-7616: methanol oxidation to carbon dioxide	variable		r:d<1	else	>0.8 no DNA	f	PWY-7616	 methanol oxidation to carbon dioxide	Degradation/Utilization/Assimilation	Alcohol Degradation	methanol oxidation to carbon dioxide
PWY-6562: norspermidine biosynthesis	PWY-6562: norspermidine biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6562	 norspermidine biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis	norspermidine biosynthesis
URSIN-PWY: ureide biosynthesis	URSIN-PWY: ureide biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	URSIN-PWY	 ureide biosynthesis	Biosynthesis	Amine and Polyamine Biosynthesis	ureide biosynthesis
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast	variable		r:d<1	else	>0.8 no DNA	f	ALLANTOINDEG-PWY	 superpathway of allantoin degradation in yeast	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	superpathway of allantoin degradation in yeast
ORNDEG-PWY: superpathway of ornithine degradation	ORNDEG-PWY: superpathway of ornithine degradation	variable		r:d<1	else	>0.8 no DNA	f	ORNDEG-PWY	 superpathway of ornithine degradation	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	superpathway of ornithine degradation
PWY-4722: creatinine degradation II	PWY-4722: creatinine degradation II	variable		r:d<1	else	>0.8 no DNA	f	PWY-4722	 creatinine degradation II	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	creatinine degradation II
PWY-5692: allantoin degradation to glyoxylate II	PWY-5692: allantoin degradation to glyoxylate II	variable		r:d<1	else	>0.8 no DNA	f	PWY-5692	 allantoin degradation to glyoxylate II	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	allantoin degradation to glyoxylate II
PWY-5705: allantoin degradation to glyoxylate III	PWY-5705: allantoin degradation to glyoxylate III	variable		r:d<1	else	>0.8 no DNA	f	PWY-5705	 allantoin degradation to glyoxylate III	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	allantoin degradation to glyoxylate III
PWY-7431: aromatic biogenic amine degradation (bacteria)	PWY-7431: aromatic biogenic amine degradation (bacteria)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7431	 aromatic biogenic amine degradation (bacteria)	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	aromatic biogenic amine degradation (bacteria)
PWY0-41: allantoin degradation IV (anaerobic)	PWY0-41: allantoin degradation IV (anaerobic)	variable		r:d<1	else	>0.8 no DNA	f	PWY0-41	 allantoin degradation IV (anaerobic)	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	allantoin degradation IV (anaerobic)
URDEGR-PWY: superpathway of allantoin degradation in plants	URDEGR-PWY: superpathway of allantoin degradation in plants	variable		r:d<1	else	>0.8 no DNA	f	URDEGR-PWY	 superpathway of allantoin degradation in plants	Degradation/Utilization/Assimilation	Amine and Polyamine Degradation	superpathway of allantoin degradation in plants
PWY-5101: L-isoleucine biosynthesis II	PWY-5101: L-isoleucine biosynthesis II	variable		r:d<1	else	>0.8 no DNA	f	PWY-5101	 L-isoleucine biosynthesis II	Biosynthesis	Amino Acid Biosynthesis	L-isoleucine biosynthesis II
PWY-6630: superpathway of L-tyrosine biosynthesis	PWY-6630: superpathway of L-tyrosine biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6630	 superpathway of L-tyrosine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-tyrosine biosynthesis
PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	PWY-821: superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	variable		r:d<1	else	>0.8 no DNA	f	PWY-821	 superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)	Biosynthesis	Amino Acid Biosynthesis	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY0-1061: superpathway of L-alanine biosynthesis	PWY0-1061: superpathway of L-alanine biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY0-1061	 superpathway of L-alanine biosynthesis	Biosynthesis	Amino Acid Biosynthesis	superpathway of L-alanine biosynthesis
ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	ARGDEG-PWY: superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	variable		r:d<1	else	>0.8 no DNA	f	ARGDEG-PWY	 superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation
AST-PWY: L-arginine degradation II (AST pathway)	AST-PWY: L-arginine degradation II (AST pathway)	variable		r:d<1	else	>0.8 no DNA	f	AST-PWY	 L-arginine degradation II (AST pathway)	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-arginine degradation II (AST pathway)
ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	ORNARGDEG-PWY: superpathway of L-arginine and L-ornithine degradation	variable		r:d<1	else	>0.8 no DNA	f	ORNARGDEG-PWY	 superpathway of L-arginine and L-ornithine degradation	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-arginine and L-ornithine degradation
P163-PWY: L-lysine fermentation to acetate and butanoate	P163-PWY: L-lysine fermentation to acetate and butanoate	variable		r:d>1	else	>0.8 no DNA	f	P163-PWY	 L-lysine fermentation to acetate and butanoate	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-lysine fermentation to acetate and butanoate
PWY-4321: L-glutamate degradation IV	PWY-4321: L-glutamate degradation IV	variable		r:d<1	else	>0.8 no DNA	f	PWY-4321	 L-glutamate degradation IV	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-glutamate degradation IV
PWY-5028: L-histidine degradation II	PWY-5028: L-histidine degradation II	variable		r:d<1	else	>0.8 no DNA	f	PWY-5028	 L-histidine degradation II	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-histidine degradation II
PWY-5088: L-glutamate degradation VIII (to propanoate)	PWY-5088: L-glutamate degradation VIII (to propanoate)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5088	 L-glutamate degradation VIII (to propanoate)	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-glutamate degradation VIII (to propanoate)
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6307	 L-tryptophan degradation X (mammalian, via tryptamine)	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tryptophan degradation X (mammalian, via tryptamine)
PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	PWY-6318: L-phenylalanine degradation IV (mammalian, via side chain)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6318	 L-phenylalanine degradation IV (mammalian, via side chain)	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-phenylalanine degradation IV (mammalian, via side chain)
THREOCAT-PWY: superpathway of L-threonine metabolism	THREOCAT-PWY: superpathway of L-threonine metabolism	variable		r:d<1	else	>0.8 no DNA	f	THREOCAT-PWY	 superpathway of L-threonine metabolism	Degradation/Utilization/Assimilation	Amino Acid Degradation	superpathway of L-threonine metabolism
TYRFUMCAT-PWY: L-tyrosine degradation I	TYRFUMCAT-PWY: L-tyrosine degradation I	variable		r:d<1	else	>0.8 no DNA	f	TYRFUMCAT-PWY	 L-tyrosine degradation I	Degradation/Utilization/Assimilation	Amino Acid Degradation	L-tyrosine degradation I
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY: 4-hydroxyphenylacetate degradation	variable		r:d<1	else	>0.8 no DNA	f	3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	 4-hydroxyphenylacetate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-hydroxyphenylacetate degradation
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	variable		r:d<1	else	>0.8 no DNA	f	CATECHOL-ORTHO-CLEAVAGE-PWY	 catechol degradation to &beta;-ketoadipate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation to &beta;-ketoadipate
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	variable		r:d>1	else	>0.8 no DNA	f	HCAMHPDEG-PWY	 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate
P165-PWY: superpathway of purines degradation in plants	P165-PWY: superpathway of purines degradation in plants	variable		r:d<1	else	>0.8 no DNA	f	P165-PWY	 superpathway of purines degradation in plants	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of purines degradation in plants
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY: protocatechuate degradation II (ortho-cleavage pathway)	variable		r:d<1	else	>0.8 no DNA	f	PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	 protocatechuate degradation II (ortho-cleavage pathway)	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	protocatechuate degradation II (ortho-cleavage pathway)
PWY-5181: toluene degradation III (aerobic) (via p-cresol)	PWY-5181: toluene degradation III (aerobic) (via p-cresol)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5181	 toluene degradation III (aerobic) (via p-cresol)	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	toluene degradation III (aerobic) (via p-cresol)
PWY-5417: catechol degradation III (ortho-cleavage pathway)	PWY-5417: catechol degradation III (ortho-cleavage pathway)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5417	 catechol degradation III (ortho-cleavage pathway)	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	catechol degradation III (ortho-cleavage pathway)
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	variable		r:d<1	else	>0.8 no DNA	f	PWY-5431	 aromatic compounds degradation via &beta;-ketoadipate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	aromatic compounds degradation via &beta;-ketoadipate
PWY-5647: 2-nitrobenzoate degradation I	PWY-5647: 2-nitrobenzoate degradation I	variable		r:d<1	else	>0.8 no DNA	f	PWY-5647	 2-nitrobenzoate degradation I	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-nitrobenzoate degradation I
PWY-5724: superpathway of atrazine degradation	PWY-5724: superpathway of atrazine degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-5724	 superpathway of atrazine degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of atrazine degradation
PWY-6182: superpathway of salicylate degradation	PWY-6182: superpathway of salicylate degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-6182	 superpathway of salicylate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	superpathway of salicylate degradation
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	PWY-6185: 4-methylcatechol degradation (ortho cleavage)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6185	 4-methylcatechol degradation (ortho cleavage)	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-methylcatechol degradation (ortho cleavage)
PWY-6210: 2-aminophenol degradation	PWY-6210: 2-aminophenol degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-6210	 2-aminophenol degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	2-aminophenol degradation
PWY-6215: 4-chlorobenzoate degradation	PWY-6215: 4-chlorobenzoate degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY-6215	 4-chlorobenzoate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	4-chlorobenzoate degradation
PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	PWY-6690: cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	variable		r:d>1	else	>0.8 no DNA	f	PWY-6690	 cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate
PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	PWY0-1277: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY0-1277	 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation
PWY5F9-12: biphenyl degradation	PWY5F9-12: biphenyl degradation	variable		r:d<1	else	>0.8 no DNA	f	PWY5F9-12	 biphenyl degradation	Degradation/Utilization/Assimilation	Aromatic Compound Degradation	biphenyl degradation
PWY-5392: reductive TCA cycle II	PWY-5392: reductive TCA cycle II	variable		r:d<1	else	>0.8 no DNA	f	PWY-5392	 reductive TCA cycle II	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	reductive TCA cycle II
RUMP-PWY: formaldehyde oxidation I	RUMP-PWY: formaldehyde oxidation I	variable		r:d<1	else	>0.8 no DNA	f	RUMP-PWY	 formaldehyde oxidation I	Degradation/Utilization/Assimilation	C1 Compound Utilization and Assimilation	formaldehyde oxidation I
PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	PWY-6953: dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6953	 dTDP-3-acetamido-&alpha;-D-fucose biosynthesis	Biosynthesis	Carbohydrate Biosynthesis	dTDP-3-acetamido-3,6-dideoxy-&alpha;-D-galactose biosynthesis
PWY-7031: protein N-glycosylation (bacterial)	PWY-7031: protein N-glycosylation (bacterial)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7031	 protein N-glycosylation (bacterial)	Biosynthesis	Carbohydrate Biosynthesis	protein N-glycosylation (bacterial)
PWY-5941: glycogen degradation II	PWY-5941: glycogen degradation II	variable		nan	else	>0.8 no DNA	f	PWY-5941	 glycogen degradation II	Degradation/Utilization/Assimilation	Carbohydrate Degradation	glycogen degradation II (eukaryotic)
PWY-7118: chitin deacetylation	PWY-7118: chitin deacetylation	variable		r:d<1	else	>0.8 no DNA	f	PWY-7118	 chitin deacetylation	Degradation/Utilization/Assimilation	Carbohydrate Degradation	chitin degradation to ethanol
PWY-7294: D-xylose degradation IV	PWY-7294: D-xylose degradation IV	variable		nan	else	>0.8 no DNA	f	PWY-7294	 D-xylose degradation IV	Degradation/Utilization/Assimilation	Carbohydrate Degradation	xylose degradation IV
PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	PROPFERM-PWY: superpathway of L-alanine fermentation (Stickland reaction)	variable		r:d<1	else	>0.8 no DNA	f	PROPFERM-PWY	 superpathway of L-alanine fermentation (Stickland reaction)	Degradation/Utilization/Assimilation	Carboxylate Degradation	L-alanine fermentation to propanoate and acetate
PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	PWY-5654: 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	variable		r:d<1	else	>0.8 no DNA	f	PWY-5654	 2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	Degradation/Utilization/Assimilation	Carboxylate Degradation	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate
PWY-5747: 2-methylcitrate cycle II	PWY-5747: 2-methylcitrate cycle II	variable		r:d<1	else	>0.8 no DNA	f	PWY-5747	 2-methylcitrate cycle II	Degradation/Utilization/Assimilation	Carboxylate Degradation	2-methylcitrate cycle II
PWY0-42: 2-methylcitrate cycle I	PWY0-42: 2-methylcitrate cycle I	variable		r:d<1	else	>0.8 no DNA	f	PWY0-42	 2-methylcitrate cycle I	Degradation/Utilization/Assimilation	Carboxylate Degradation	2-methylcitrate cycle I
ECASYN-PWY: enterobacterial common antigen biosynthesis	ECASYN-PWY: enterobacterial common antigen biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	ECASYN-PWY	 enterobacterial common antigen biosynthesis	Biosynthesis	Cell Structure Biosynthesis	enterobacterial common antigen biosynthesis
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	KDO-NAGLIPASYN-PWY	 superpathway of (Kdo)2-lipid A biosynthesis	Biosynthesis	Cell Structure Biosynthesis	superpathway of (Kdo)2-lipid A biosynthesis
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	PWY-5265: peptidoglycan biosynthesis II (staphylococci)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5265	 peptidoglycan biosynthesis II (staphylococci)	Biosynthesis	Cell Structure Biosynthesis	peptidoglycan biosynthesis II (staphylococci)
PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	PWY-6467: Kdo transfer to lipid IVA III (Chlamydia)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6467	 Kdo transfer to lipid IVA III (Chlamydia)	Biosynthesis	Cell Structure Biosynthesis	Kdo transfer to lipid IVA III (Chlamydia)
PWY0-1338: polymyxin resistance	PWY0-1338: polymyxin resistance	variable		r:d<1	else	>0.8 no DNA	f	PWY0-1338	 polymyxin resistance	Biosynthesis	Cell Structure Biosynthesis	polymyxin resistance
PWY-2201: folate transformations I	PWY-2201: folate transformations I	variable		nan	else	>0.8 no DNA	f	PWY-2201	 folate transformations I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	folate transformations I
PWY-5850: superpathway of menaquinol-6 biosynthesis	PWY-5850: superpathway of menaquinol-6 biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-5850	 superpathway of menaquinol-6 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-6 biosynthesis I
PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	PWY-5855: ubiquinol-7 biosynthesis (early decarboxylation)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5855	 ubiquinol-7 biosynthesis (early decarboxylation)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-7 biosynthesis (prokaryotic)
PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation)	PWY-5856: ubiquinol-9 biosynthesis (early decarboxylation)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5856	 ubiquinol-9 biosynthesis (early decarboxylation)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-9 biosynthesis (prokaryotic)
PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation)	PWY-5857: ubiquinol-10 biosynthesis (early decarboxylation)	variable		r:d<1	else	>0.8 no DNA	f	PWY-5857	 ubiquinol-10 biosynthesis (early decarboxylation)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-10 biosynthesis (prokaryotic)
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	variable		r:d<1	else	>0.8 no DNA	f	PWY-5860	 superpathway of demethylmenaquinol-6 biosynthesis I	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of demethylmenaquinol-6 biosynthesis I
PWY-5863: superpathway of phylloquinol biosynthesis	PWY-5863: superpathway of phylloquinol biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-5863	 superpathway of phylloquinol biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of phylloquinol biosynthesis
PWY-5896: superpathway of menaquinol-10 biosynthesis	PWY-5896: superpathway of menaquinol-10 biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-5896	 superpathway of menaquinol-10 biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of menaquinol-10 biosynthesis
PWY-5920: superpathway of heme b biosynthesis from glycine	PWY-5920: superpathway of heme b biosynthesis from glycine	variable		r:d<1	else	>0.8 no DNA	f	PWY-5920	 superpathway of heme b biosynthesis from glycine	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	superpathway of heme biosynthesis from glycine
PWY-6167: flavin biosynthesis II (archaea)	PWY-6167: flavin biosynthesis II (archaea)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6167	 flavin biosynthesis II (archaea)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	flavin biosynthesis II (archaea)
PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	PWY-6708: ubiquinol-8 biosynthesis (early decarboxylation)	variable		r:d<1	else	>0.8 no DNA	f	PWY-6708	 ubiquinol-8 biosynthesis (early decarboxylation)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	ubiquinol-8 biosynthesis (prokaryotic)
PWY-6823: molybdopterin biosynthesis	PWY-6823: molybdopterin biosynthesis	variable		r:d<1	else	>0.8 no DNA	f	PWY-6823	 molybdopterin biosynthesis	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	molybdenum cofactor biosynthesis
PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)	PWY-7165: L-ascorbate biosynthesis VIII (engineered pathway)	variable		r:d<1	else	>0.8 no DNA	f	PWY-7165	 L-ascorbate biosynthesis VIII (engineered pathway)	Biosynthesis	Cofactor, Carrier, and Vitamin Biosynthesis	L-ascorbate biosynthesis VI (engineered pathway)
